video_id,title,channel,published_at,view_count,duration_sec,topic,tone,prosocial,risk
xg8AvzNmeuU,Varshini chala goranga edichindhi 😟 #ishqyouall #swv #telugu #funny #comedy #shorts #youtube,Soundarya with Varshini - Telugu,2025-10-16T11:50:24Z,9609157,38.0,,,0,0
aTgPefqZESg,Crazy epic fails 😂😂😂| EP 59  #shorts #memes #fails #funnymoments,Epic Fails Reels,2025-09-02T05:00:00Z,29526463,19.0,,,0,0
OgY5DOCv3DA,Girlfriend Fun 🤣 #shorts #shortvideo #shortsfeed #trending #funny #comedy #viralvideo ￼,NRFM-VLOGS,2025-06-02T13:30:29Z,10668500,36.0,,,0,0
w6ZfURULMUA,Her crush likes the girl she bullied #chang0000 #chany #c4class #shorts,Trần Thị Thu Trang,2024-04-12T11:42:32Z,76421910,30.0,,,0,0
Ncdu7NPJdaQ,Kitni jaldi bade hogye na hum 🥹♥️ #shorts #sejalgabashorts #ytshorts,Sejal Gaba,2025-10-11T09:27:22Z,25246433,32.0,,,0,0
k9Frm7DA2EY,Vickey cathey does her daughter hair for prom 😱 #shorts,Vickey Cathey,2025-04-12T02:04:31Z,14793775,13.0,,,0,0
nxUfX-s-mEc,Buying evening my sister touches at dollar tree #shopping #shoppinghaul #shoppingvideo #shorts,Marshallese Sisters,2025-08-03T03:36:40Z,17184846,60.0,,,0,0
Cju1dlicQzY,Guest Bathroom Restock 🧼 #aesthetic #mini #satisfying #asmr #asmrsounds #shorts #viral #viralvideo,Glenda,2025-08-07T16:26:12Z,1617735,26.0,,,0,0
1DKUQ0a4f4M,"Tom🍓Jerry,Real End Twist😄Must Watch #shorts",vlog 4u,2025-12-25T05:02:19Z,2254303,60.0,,,0,0
eBRSVWIPzDo,The Youngest Mothers InThe World 😳 #reels #shorts,Historian Here,2025-09-01T10:15:13Z,26568430,21.0,,,0,0
31DHd7RV6B0,DIY no paper squishy ❤️ #shorts #youtubeshorts #art #craft,AR art and craft,2025-05-21T16:28:00Z,5229762,11.0,,,0,0
KGFK6xLeroE,when sisters have boyfriends but not forget you. #viral #trending #shorts,H&T Official,2024-04-10T08:01:09Z,27464410,58.0,,,0,0
31DHd7RV6B0,DIY no paper squishy ❤️ #shorts #youtubeshorts #art #craft,AR art and craft,2025-05-21T16:28:00Z,5229762,11.0,,,0,0
8pc42WStf1o,Spend a day with me and the Grinch ❤️💚🎄😘 #shorts #youtubeshorts,ZoeTube,2025-12-22T15:36:07Z,156893,60.0,,,0,0
SI4QSPoVLnw,Jhoota Khane se Pyaar Badhta Hai💕😂#shorts #comedy #funny #olidavines,OLIDA  Vlogs and Vines,2025-12-23T11:36:47Z,1164036,38.0,,,0,0
1DKUQ0a4f4M,"Tom🍓Jerry,Real End Twist😄Must Watch #shorts",vlog 4u,2025-12-25T05:02:19Z,2254303,60.0,,,0,0
