preset,night_mode,k,diversity_at_10_mean,diversity_at_10_std,diversity_at_10_min,diversity_at_10_max,max_topic_streak_mean,max_topic_streak_std,max_topic_streak_min,max_topic_streak_max,max_creator_streak_mean,max_creator_streak_std,max_creator_streak_min,max_creator_streak_max,prosocial_ratio_mean,prosocial_ratio_std,prosocial_ratio_min,prosocial_ratio_max,runtime_sec_per_100_mean,runtime_sec_per_100_std,runtime_sec_per_100_min,runtime_sec_per_100_max,overlap_ratio_top10_mean,overlap_ratio_top10_std,overlap_ratio_top10_min,overlap_ratio_top10_max,overlap_ratio_topk_mean,overlap_ratio_topk_std,overlap_ratio_topk_min,overlap_ratio_topk_max,pass_rate
entertainment,False,100,8.0,0.0,8,8,2.0,0.0,2,2,1.0,0.0,1,1,0.25,0.0,0.25,0.25,0.08223786910064518,0.02294219332350889,0.06790012499550357,0.19572079204954207,0.6,0.0,0.6,0.6,0.93,0.0,0.93,0.93,1.0
entertainment,True,15,8.0,0.0,8,8,1.0,0.0,1,1,1.0,0.0,1,1,0.6,0.0,0.6,0.6,0.08650203344877809,0.01177666257691946,0.07350138660209875,0.14727999999498328,0.6,0.0,0.6,0.6,0.5333333333333333,0.0,0.5333333333333333,0.5333333333333333,1.0
inspiration,False,100,9.0,0.0,9,9,2.0,0.0,2,2,1.0,0.0,1,1,0.25,0.0,0.25,0.25,0.0778233983006794,0.012610508987157704,0.06591120798839256,0.15535958303371444,0.4,0.0,0.4,0.4,0.92,0.0,0.92,0.92,1.0
inspiration,True,15,9.0,0.0,9,9,1.0,0.0,1,1,1.0,0.0,1,1,0.7333333333333333,0.0,0.7333333333333333,0.7333333333333333,0.0893550002714619,0.025031256167653712,0.0749116666459789,0.2461858334330221,0.4,0.0,0.4,0.4,0.33333333333333326,0.0,0.3333333333333333,0.3333333333333333,1.0
learning,False,100,9.0,0.0,9,9,2.0,0.0,2,2,1.0,0.0,1,1,0.25,0.0,0.25,0.25,0.0830390624597203,0.035122049668935375,0.06617449998157099,0.316675582958851,0.3,0.0,0.3,0.3,0.92,0.0,0.92,0.92,1.0
learning,True,15,9.0,0.0,9,9,2.0,0.0,2,2,1.0,0.0,1,1,0.9333333333333332,0.0,0.9333333333333333,0.9333333333333333,0.1027361224948739,0.11612140623822795,0.07402055974428853,0.9011955532090118,0.3,0.0,0.3,0.3,0.2,0.0,0.2,0.2,1.0
