preset,night_mode,k,diversity_at_10_mean,diversity_at_10_std,diversity_at_10_min,diversity_at_10_max,max_topic_streak_mean,max_topic_streak_std,max_topic_streak_min,max_topic_streak_max,max_creator_streak_mean,max_creator_streak_std,max_creator_streak_min,max_creator_streak_max,prosocial_ratio_mean,prosocial_ratio_std,prosocial_ratio_min,prosocial_ratio_max,runtime_sec_per_100_mean,runtime_sec_per_100_std,runtime_sec_per_100_min,runtime_sec_per_100_max,overlap_ratio_top10_mean,overlap_ratio_top10_std,overlap_ratio_top10_min,overlap_ratio_top10_max,overlap_ratio_topk_mean,overlap_ratio_topk_std,overlap_ratio_topk_min,overlap_ratio_topk_max,pass_rate
baseline,False,100,5.0,0.0,5,5,3.0,0.0,3,3,2.0,0.0,2,2,0.21,0.0,0.21,0.21,0.00013368478200087946,3.002226289481619e-05,0.00011154217645525932,0.0002733329311013222,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
baseline,True,15,5.0,0.0,5,5,2.0,0.0,2,2,1.0,0.0,1,1,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.0008475180301401351,0.00037716477040426033,0.0006708332026998203,0.002775280736386776,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
entertainment,False,100,8.0,0.0,8,8,2.0,0.0,2,2,1.0,0.0,1,1,0.25,0.0,0.25,0.25,0.07219056675676257,0.003300644931120383,0.06704720784910023,0.08031800016760826,0.6,0.0,0.6,0.6,0.93,0.0,0.93,0.93,1.0
entertainment,True,15,8.0,0.0,8,8,1.0,0.0,1,1,1.0,0.0,1,1,0.6,0.0,0.6,0.6,0.08115305534253518,0.00470209745940653,0.0751700003941854,0.08861666700492303,0.6,0.0,0.6,0.6,0.5333333333333333,0.0,0.5333333333333333,0.5333333333333333,1.0
inspiration,False,100,9.0,0.0,9,9,2.0,0.0,2,2,1.0,0.0,1,1,0.25,0.0,0.25,0.25,0.07081483763176948,0.0019720581655850986,0.06785408314317465,0.07363441702909768,0.4,0.0,0.4,0.4,0.9200000000000002,0.0,0.92,0.92,1.0
inspiration,True,15,9.0,0.0,9,9,1.0,0.0,1,1,1.0,0.0,1,1,0.7333333333333333,0.0,0.7333333333333333,0.7333333333333333,0.08062211067105333,0.0036985285451083746,0.0763655531530579,0.08832972031086683,0.4,0.0,0.4,0.4,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0
learning,False,100,9.0,0.0,9,9,2.0,0.0,2,2,1.0,0.0,1,1,0.25,0.0,0.25,0.25,0.07310362081043423,0.002381246532334367,0.06985208299010992,0.07715270784683526,0.3,0.0,0.3,0.3,0.9200000000000002,0.0,0.92,0.92,1.0
learning,True,15,9.0,0.0,9,9,2.0,0.0,2,2,1.0,0.0,1,1,0.9333333333333333,0.0,0.9333333333333333,0.9333333333333333,0.08462019280220072,0.008987832338475093,0.07930971992512545,0.10903805339088044,0.3,0.0,0.3,0.3,0.2,0.0,0.2,0.2,1.0
